
# Curve 0 of 1, 20 points
# Curve title: "'000012.tdf' using (hist($1,dx)):(norm_factor)"
# x y xlow xhigh type
-3.825  0.000444444 -3.825 -3.825  i
-3.375  0.00155556 -3.375 -3.375  i
-2.925  0.00577778 -2.925 -2.925  i
-2.475  0.0206667 -2.475 -2.475  i
-2.025  0.0508889 -2.025 -2.025  i
-1.575  0.11 -1.575 -1.575  i
-1.125  0.212222 -1.125 -1.125  i
-0.675  0.320444 -0.675 -0.675  i
-0.225  0.382222 -0.225 -0.225  i
 0.225  0.395778  0.225  0.225  i
 0.675  0.308  0.675  0.675  i
 1.125  0.208667  1.125  1.125  i
 1.575  0.124667  1.575  1.575  i
 2.025  0.0544444  2.025  2.025  i
 2.475  0.0182222  2.475  2.475  i
 2.925  0.00644444  2.925  2.925  i
 3.375  0.00111111  3.375  3.375  i
 3.825  0.000444444  3.825  3.825  i
 4.275  0.000222222  4.275  4.275  i


